time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
1637.99841027425 "" 1.2398524e-03 5.5993674e-03 295587 1886.57155 1703.45856 9.3433945e+03 1.1270690e+01 1.3559052e+03 2.1304631e+00 1.3521424e+04 1.6547844e+01 0 "" "" "" "" 1886.57155 5.9033174e-04 1703.45856 5.9349928e-04 -7.1249474e-03 4.9589552e-02
1637.999799173724 "" 1.2398626e-03 5.5993786e-03 295588 1886.58793 1703.45600 9.3512695e+03 1.1270783e+01 1.3548810e+03 2.1293645e+00 1.3528922e+04 1.6547981e+01 0 "" "" "" "" 1886.58793 5.8760436e-04 1703.45600 5.9282838e-04 1.2055272e-02 4.3941259e-02
1638.001188072733 "" 1.2403879e-03 5.5993893e-03 295589 1886.57427 1703.46196 9.3595195e+03 1.1275558e+01 1.3541326e+03 2.1301632e+00 1.3554556e+04 1.6554991e+01 0 "" "" "" "" 1886.57427 5.8924110e-04 1703.46196 5.9296703e-04 -9.8805001e-04 5.5097066e-02
1638.0025769717406 "" 1.2419267e-03 5.5994000e-03 295590 1886.57927 1703.45271 9.3806689e+03 1.1289546e+01 1.3569609e+03 2.1330128e+00 1.3540044e+04 1.6575529e+01 0 "" "" "" "" 1886.57927 5.8797305e-04 1703.45271 5.9169700e-04 3.0405861e-03 4.3455768e-02
1638.0039658712149 "" 1.2394171e-03 5.5994112e-03 295591 1886.57679 1703.45676 9.3441660e+03 1.1266733e+01 1.3551693e+03 2.1300578e+00 1.3477051e+04 1.6542034e+01 0 "" "" "" "" 1886.57679 5.8937870e-04 1703.45676 5.9311604e-04 -1.0604195e-04 4.6614144e-02
1638.0053547702241 "" 1.2396906e-03 5.5994219e-03 295592 1886.58109 1703.45864 9.3496309e+03 1.1269219e+01 1.3543203e+03 2.1297040e+00 1.3533441e+04 1.6545685e+01 0 "" "" "" "" 1886.58109 5.8860716e-04 1703.45864 5.9303013e-04 4.8657483e-03 4.7333147e-02
