time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
1630.5983151140767 1.0053300e+00 1.2492655e-03 5.5010603e-03 290259 1886.61970 1703.52467 9.2894863e+03 1.1356258e+01 1.5414813e+03 2.2434018e+00 1.3553133e+04 1.6673477e+01 0 "" "" "" "" 1886.61970 5.9005449e-04 1703.52467 6.0181203e-04 7.2090246e-02 1.3156806e-01
1630.5997040265902 1.0084786e+00 1.2506685e-03 5.5010845e-03 290260 1886.61024 1703.53297 9.3125020e+03 1.1369013e+01 1.5447040e+03 2.2440560e+00 1.3595583e+04 1.6692204e+01 0 "" "" "" "" 1886.61024 5.9113099e-04 1703.53297 6.0063938e-04 5.1279709e-02 1.4370543e-01
1630.6010929391023 1.0147691e+00 1.2542246e-03 5.5011087e-03 290261 1886.61476 1703.53330 9.3812588e+03 1.1401339e+01 1.5421848e+03 2.2474744e+00 1.3680333e+04 1.6739664e+01 0 "" "" "" "" 1886.61476 5.8761874e-04 1703.53330 5.9794565e-04 5.4438598e-02 1.3927794e-01
1630.6024818516144 1.0125891e+00 1.2539933e-03 5.5011329e-03 290262 1886.62090 1703.53326 9.3709326e+03 1.1399235e+01 1.5438273e+03 2.2443292e+00 1.3650943e+04 1.6736576e+01 0 "" "" "" "" 1886.62090 5.8697764e-04 1703.53326 5.9852476e-04 5.9671436e-02 1.4232846e-01
1630.603870764593 1.0132555e+00 1.2545320e-03 5.5011576e-03 290263 1886.60762 1703.53295 9.3855049e+03 1.1404133e+01 1.5442714e+03 2.2439654e+00 1.3659903e+04 1.6743767e+01 0 "" "" "" "" 1886.60762 5.8883830e-04 1703.53295 5.9787289e-04 4.4369500e-02 1.4112440e-01
1630.6052596771056 1.0100629e+00 1.2531945e-03 5.5011818e-03 290264 1886.61353 1703.53057 9.3634443e+03 1.1391974e+01 1.5412070e+03 2.2434130e+00 1.3616864e+04 1.6725916e+01 0 "" "" "" "" 1886.61353 5.8842846e-04 1703.53057 5.9874222e-04 5.5462416e-02 1.3613282e-01
1630.6066485896185 1.0099232e+00 1.2537346e-03 5.5012060e-03 290265 1886.61555 1703.53186 9.3645166e+03 1.1396885e+01 1.5447838e+03 2.2450364e+00 1.3614946e+04 1.6733124e+01 0 "" "" "" "" 1886.61555 5.8825169e-04 1703.53186 5.9886405e-04 5.3687178e-02 1.3813338e-01
1630.6080375025967 1.0086334e+00 1.2525743e-03 5.5012307e-03 290266 1886.61902 1703.53203 9.3463828e+03 1.1386335e+01 1.5427323e+03 2.2440448e+00 1.3597558e+04 1.6717638e+01 0 "" "" "" "" 1886.61902 5.8820558e-04 1703.53203 5.9945491e-04 6.1415315e-02 1.3708425e-01
1630.6094264151093 1.0091755e+00 1.2530892e-03 5.5012549e-03 290267 1886.61682 1703.53129 9.3539688e+03 1.1391017e+01 1.5448058e+03 2.2469273e+00 1.3604868e+04 1.6724510e+01 0 "" "" "" "" 1886.61682 5.8834127e-04 1703.53129 5.9923134e-04 5.5151664e-02 1.3716830e-01
1630.6108153276223 1.0042050e+00 1.2510489e-03 5.5012791e-03 290268 1886.61402 1703.53307 9.3138574e+03 1.1372471e+01 1.5465477e+03 2.2462976e+00 1.3537541e+04 1.6697279e+01 0 "" "" "" "" 1886.61402 5.9047888e-04 1703.53307 6.0071418e-04 5.2064486e-02 1.3775963e-01
1630.6122042401344 1.0057135e+00 1.2502901e-03 5.5013034e-03 290269 1886.62719 1703.52898 9.2976211e+03 1.1365572e+01 1.5465698e+03 2.2487178e+00 1.3557876e+04 1.6687151e+01 0 "" "" "" "" 1886.62719 5.8845599e-04 1703.52898 6.0157763e-04 6.9237843e-02 1.3708812e-01
1630.6135931531126 1.0036638e+00 1.2510547e-03 5.5013280e-03 290270 1886.60975 1703.53536 9.3079443e+03 1.1372523e+01 1.5471726e+03 2.2480052e+00 1.3529199e+04 1.6697357e+01 0 "" "" "" "" 1886.60975 5.9147860e-04 1703.53536 6.0097512e-04 4.4787154e-02 1.4415194e-01
1630.614982065626 1.0058059e+00 1.2520875e-03 5.5013523e-03 290271 1886.61399 1703.53264 9.3272383e+03 1.1381911e+01 1.5438116e+03 2.2481899e+00 1.3557525e+04 1.6711142e+01 0 "" "" "" "" 1886.61399 5.9027778e-04 1703.53264 6.0037553e-04 4.7585454e-02 1.3973883e-01
1630.616370978139 1.0042310e+00 1.2504351e-03 5.5013765e-03 290272 1886.61540 1703.53031 9.3011328e+03 1.1366890e+01 1.5496304e+03 2.2477551e+00 1.3536298e+04 1.6689087e+01 0 "" "" "" "" 1886.61540 5.9074844e-04 1703.53031 6.0136523e-04 5.1603675e-02 1.3793674e-01
1630.617759890651 1.0054626e+00 1.2518556e-03 5.5014007e-03 290273 1886.62409 1703.53302 9.3314688e+03 1.1379804e+01 1.5419482e+03 2.2437942e+00 1.3553447e+04 1.6708046e+01 0 "" "" "" "" 1886.62409 5.8776885e-04 1703.53302 6.0001237e-04 5.7720613e-02 1.3853267e-01
1630.6191488036288 1.0041529e+00 1.2495260e-03 5.5014254e-03 290274 1886.62152 1703.53036 9.2859834e+03 1.1358627e+01 1.5476477e+03 2.2465553e+00 1.3535792e+04 1.6676954e+01 0 "" "" "" "" 1886.62152 5.9001963e-04 1703.53036 6.0189317e-04 6.0271863e-02 1.3859360e-01
1630.6205377161414 1.0065529e+00 1.2527092e-03 5.5014496e-03 290275 1886.61935 1703.53314 9.3487168e+03 1.1387564e+01 1.5474170e+03 2.2467360e+00 1.3568545e+04 1.6719439e+01 0 "" "" "" "" 1886.61935 5.8801321e-04 1703.53314 5.9928856e-04 5.1531803e-02 1.3845490e-01
1630.6219266286544 1.0050418e+00 1.2513811e-03 5.5014738e-03 290276 1886.61757 1703.53263 9.3171729e+03 1.1375490e+01 1.5453861e+03 2.2448578e+00 1.3548176e+04 1.6701714e+01 0 "" "" "" "" 1886.61757 5.8976054e-04 1703.53263 6.0071261e-04 5.0306860e-02 1.4081629e-01
1630.623315541167 1.0035605e+00 1.2486085e-03 5.5014980e-03 290277 1886.62251 1703.53166 9.2613291e+03 1.1350286e+01 1.5517677e+03 2.2495756e+00 1.3528208e+04 1.6664707e+01 0 "" "" "" "" 1886.62251 5.9093384e-04 1703.53166 6.0296949e-04 6.5435201e-02 1.4105855e-01
1630.6247044541453 1.0030491e+00 1.2516638e-03 5.5015227e-03 290278 1886.61134 1703.53483 9.3102334e+03 1.1378060e+01 1.5475088e+03 2.2497425e+00 1.3520913e+04 1.6705486e+01 0 "" "" "" "" 1886.61134 5.9146184e-04 1703.53483 6.0115353e-04 4.4499818e-02 1.4225784e-01
1630.626093366658 1.0040295e+00 1.2517868e-03 5.5015469e-03 290279 1886.62165 1703.53041 9.3298086e+03 1.1379179e+01 1.5454305e+03 2.2453580e+00 1.3533582e+04 1.6707129e+01 0 "" "" "" "" 1886.62165 5.8837887e-04 1703.53041 6.0020265e-04 5.3118378e-02 1.3530330e-01
1630.6274822791702 1.0021455e+00 1.2503224e-03 5.5015711e-03 290280 1886.61480 1703.52889 9.3000928e+03 1.1365866e+01 1.5473330e+03 2.2499676e+00 1.3508188e+04 1.6687584e+01 0 "" "" "" "" 1886.61480 5.9087656e-04 1703.52889 6.0142198e-04 4.6037450e-02 1.3523690e-01
1630.6288711916827 1.0028533e+00 1.2507621e-03 5.5015953e-03 290281 1886.62073 1703.53165 9.3060557e+03 1.1369864e+01 1.5477709e+03 2.2465816e+00 1.3516626e+04 1.6693453e+01 0 "" "" "" "" 1886.62073 5.8949745e-04 1703.53165 6.0116581e-04 5.4235291e-02 1.3931163e-01
1630.6302601041962 1.0031034e+00 1.2503656e-03 5.5016195e-03 290282 1886.61875 1703.53167 9.3001758e+03 1.1366260e+01 1.5470676e+03 2.2476172e+00 1.3519876e+04 1.6688160e+01 0 "" "" "" "" 1886.61875 5.9017877e-04 1703.53167 6.0132478e-04 5.2755233e-02 1.3879928e-01
